,course,url,lat,lon
313,Executive Course at Brandywine Country Club,missing,41.5839613,-83.70538359999999
314,Thoroughbred Golf Club at Double JJ Resort,http://www.doublejj.com,43.5385588,-86.3663203
315,Cascade Short Course & Driving Range,missing,42.2275645,-84.44161299999999
316,Deer Island Golf & Lake Club,http://www.deerislandgolf.com,28.78116129999999,-81.6565682
317,Gunters Landing Golf Club,http://www.gunterslanding.com,34.3979976,-86.2418426
318,Blue Gold Course at Riverview Highlands Golf Course,missing,42.16770349999999,-83.2051457
319,Chambers County Golf Course,missing,29.831247,-94.64798540000001
320,West Ridge Golf Course,missing,33.1946514,-96.734714
321,Wachesaw Plantation Club,missing,33.5617583,-79.0814707
322,Warner Springs Ranch,http://www.warnersprings.com,33.283137,-116.6341279
323,Lakes Course at Boca Woods Country Club,missing,26.357237,-80.203982
324,Wellesley Country Club,missing,42.3017581,-71.2603871
325,Capitol City Golf Club,http://www.golfcapitolcity.com,46.9956535,-122.8126554
326,Eagle Ridge Golf Club,missing,40.0659316,-74.24509549999999
327,The Links Course at Robert Trent Jones Golf Trail - Grand National,http://www.rtjgolf.com,41.39234,-81.9147598
328,South North Course at Fernandina Beach Municipal Golf Course,missing,30.6696818,-81.46259189999999
329,Third First Course at Lake Venice Golf Club,missing,27.0644778,-82.44596949999999
330,Challenger Course at Bear Creek Golf World,missing,29.829798,-95.63813599999999
331,Springs Course at House On The Rock Resort,http://www.thehouseontherock.com,43.1351081,-90.0466775
332,Laurel Azalea Course at Houndslake Country Club,missing,33.5233749,-81.73941599999999
333,Upland Golf Club,http://www.uplandgolfclub.com,34.1226111,-117.6361881
334,Forest Park Golf Course,missing,38.6445313,-90.296737
335,North Course at Foxtail Golf Club,http://www.playfoxtail.com,38.3611569,-122.7073932
336,Tara Hills Golf Course,missing,41.1724565,-96.05292209999999
337,White Blue Course at Mountain View Golf Course,missing,40.459942,-76.40082199999999
338,Sugar Isle Golf Country,missing,39.9650143,-84.0215065
339,Hills Course at Prestonwood Country Club,missing,32.9643216,-96.8081747
340,Aronimink Golf Club,missing,40.0116482,-75.4089868
341,Creek Oaks Course at Temecula Creek Inn,http://www.jcgolf.com,33.4677096,-117.1318014
342,Spring Valley Golf Course,missing,42.9298721,-94.1880709
343,Aquia Harbour Golf & Country Club,missing,38.472006,-77.377932
344,Holiday Hills Golf Course,missing,36.63338359999999,-93.18649769999999
345,Salina Country Club,missing,38.8419647,-97.57559289999999
346,Mulligans Golf,missing,40.5597916,-111.9105142
347,Kirksville Country Club,missing,40.1715883,-92.56995850000001
348,Kingsway Country Club,missing,27.034595,-82.04415999999999
349,New Haven Country Club,missing,41.3450839,-72.9092431
350,Eagle Chase Golf Club,missing,35.0765929,-80.3899844
351,Mahnomen Country Club,missing,47.3160865,-95.9417062
352,River Birch Golf Club,missing,43.7266694,-116.4653348
353,Holland Meadows Golf Course,missing,43.0482081,-74.2413773
354,Firecreek Golf Club,missing,41.743723,-83.5703816
355,Harrington Golf & Country Club,missing,47.4742143,-118.2530855
356,Kyber Run Golf Course,missing,40.13121659999999,-82.6972862
357,Meadows Course at Greenbrier,http://www.greenbrier.com,37.7861958,-80.3079695
358,San Antonio Country Club,missing,29.4667884,-98.4601072
359,Old Capital Golf Club,http://www.oldcapitalgolf.com,38.2025579,-86.0990678
360,Cassville Golf Club,missing,36.6381794,-93.85186540000001
361,La Quinta Country Club,missing,33.6871961,-116.3069545
362,Heron to Ibis Course at Carolina National Golf Club,missing,35.7595731,-79.01929969999999
363,Richter Park Golf Course,http://www.richterpark.com,41.4135098,-73.51997089999999
364,Big Creek Golf & Country Club,http://www.bigcreekgolf.com,36.320554,-92.422313
365,New Meadows Golf Club,missing,42.6629041,-70.9248269
366,Pat Cleburne Municipal Golf Course,missing,32.3070716,-97.42099879999999
367,Pocalla Springs Country Club,missing,33.8718252,-80.3542477
368,Fourche Valley Golf Club,http://www.fourchevalley.org,37.9192259,-90.9223636
369,Echo Creek Country Club,missing,32.2373658,-95.66087859999999
370,Cleghorn Plantation Golf & Country Club,missing,35.2977367,-81.9813967
371,Smoky Hill Country Club,missing,38.8946021,-99.3405944
372,Maplewood Country Club,missing,40.7282103,-74.2754753
373,Links O Tryon,missing,35.1112003,-82.21178979999999
374,Bethany Bay Golf Club,missing,38.5703482,-75.10154810000002
375,Mosswood Meadows Golf Course,missing,39.655264,-91.754916
376,Woodbury Country Club,missing,40.818271,-73.45473799999999
377,Little Traverse Bay Golf Club,http://www.ltbaygolf.com,45.4460995,-84.89923610000001
378,Yorba Linda Country Club,http://www.yorbalindaclub.com,33.8771239,-117.7946662
379,Shawangunk Country Club,missing,41.7074128,-74.4027569
380,Pinetree Country Club,missing,34.0374656,-84.593023
381,Cottonwood Silo Course at West Woods Golf Club,missing,39.81651,-105.185455
382,Take Fore Golf & Fitness,missing,,
383,Sunset Course at Lancaster Country Club,missing,40.0378755,-76.3055144
384,Oaks Hills Golf Course,missing,36.4048519,-86.79809
385,Bridge Prairie Course at North Branch Golf Course,http://www.northbranchgolf.com,39.327542,-85.330381
386,Haleyville Country Club,missing,34.2774515,-87.60549549999999
387,Pigeon Run River Woods Course at Sheboygan Town & Country Golf Club,http://www.townandcountrygolf.com,43.788433,-87.788424
388,Bay Pointe Golf Club,missing,42.58203959999999,-83.4397888
389,Maplecrest Golf Club,missing,42.62207799999999,-87.92019499999999
390,River Course at Fiddlers Elbow Country Club,http://www.fiddlerselbowcc.com,40.6399036,-74.7215688
391,Fairview Municipal Golf Course,missing,39.7467881,-94.81441679999999
